,id,name,artists,artist_ids,year,genre,language,country,AppleMusicLink,SpotifyLink,YouTubeLink,YouTubeMusicLink,PandoraLink,DeezerLink,SoundCloudLink,AmazonMusicLink,TIDALLink,NapsterLink,YandexLink
53,3CFB4TybenyM3QzxuEl29W,"Cello Concerto No. 2 in C Minor, Op. 77: III. Andante con moto","['Dmitry Kabalevsky', 'Raphael Wallfisch', 'London Philharmonic Orchestra', 'Bryden Thomson']","['46wMXZ6bEoXUlToxUglEtY', '1VTFPRp3Fb9MAMBaV87VpT', '3PfJE6ebCbCHeuqO4BfNeA', '7q7RpicjbjUik3RCrjSKuz']",2002,NAN,NAN,NAN,,,,,,,,,,,
54,1LJ5GwErRnfep3cVomVG7k,I Thought You Knew,['Provision'],['2mn99TkW4eb3yZaCJhG4QX'],2010,NAN,NAN,NAN,,,,,,,,,,,
55,5pEAvF5BWYZOOZ7Hm5E5nn,Soir de danse,['Bernard Duguay'],['7vHZkHtlcBuwbqYsk4Om16'],2006,NAN,NAN,NAN,,,,,,,,,,,
56,47sMdFrzKaMf3TI8fH2gM2,The Dance,['Anat Fort'],['32OuYoQkedAGs4hKig6oUi'],1999,NAN,NAN,NAN,,,,,,,,,,,
57,3WS4OMnSdwcgMIJiwZl07l,No. 3,"['Johannes Brahms', 'Van Cliburn']","['5wTAi7QkpP6kp8a54lmTOq', '1RMjtNqKOM6V36EngDqEBw']",1999,NAN,NAN,NAN,,,,,,,,,,,
58,2wKAAWdAJbmsZXrQgHMz1a,Shining Force II - Elven Town,['Smooth McGroove'],['1eyGtJBOiRGtvXAEhQHpBS'],2014,NAN,NAN,NAN,,,,,,,,,,,
59,7gX8J9I4VXTfxgyoXN91SK,Burnin' Hell Blues,['Frigg A-Go-Go'],['6FJ6yawhOZ63kZwiYXUF09'],1999,NAN,NAN,NAN,,,,,,,,,,,
60,6I7h0QWFuAzJJZO5eCSncw,"9 Variations on Paisiello's ""Quant'e piu bello"", WoO 69: Var. 4, Minore","['Ludwig van Beethoven', 'Giuseppe Bruno']","['2wOqMjp9TyABvtHdOSOTUS', '6Hrns9FM7XNT94haw5RS0O']",2020,NAN,NAN,NAN,,,,,,,,,,,
61,52qFTcjiMdKgzE5xxKZIqC,Demonios,"[""Ivana d'Arc""]",['4OzEKUauhp2PWqDqwMhuFi'],2010,NAN,NAN,NAN,,,,,,,,,,,
62,7MXYo6MB0PCgIX4EmQgqej,Sickeningly Teeth,['Melkbelly'],['7jrKVdbsnsYOR8roKyx1Th'],2020,NAN,NAN,NAN,,,,,,,,,,,
63,1UfMEHKBake3M0gJrV8zMW,I Sold My Heart to the Junkman,['Bette Midler'],['13y0kncDD4J9wxCyfKr10W'],1998,NAN,NAN,NAN,,,,,,,,,,,
64,3wKLg1OZ1CspNzTaHhpRYK,Play,['Lil Wop'],['3VEfffCnIsuupIrnkgmVtu'],2019,NAN,NAN,NAN,,,,,,,,,,,
65,52UCHzL198tkntzcUwoW0N,"Symphony No. 6 in F major, Op. 68, ""Pastoral"": Allegretto - The Shepherd's Hymn","['Ludwig van Beethoven', 'Günter Wand']","['2wOqMjp9TyABvtHdOSOTUS', '5r6BbRI2QTDC9dv4rkSgCP']",1989,NAN,NAN,NAN,,,,,,,,,,,
66,2wtF0rVO9Fv2UTsIdJIVyf,Lovin' Me,['Deanna Bogart'],['6t5gYU75DSRMg97vSwJimG'],2006,NAN,NAN,NAN,,,,,,,,,,,
67,0PNgEd6i23zKdlwmrY10qZ,Chaospace,['Omnium Gatherum'],['52xuvlUvnxqH0xzxGPKXSu'],2019,NAN,NAN,NAN,,,,,,,,,,,
68,6guX4qBzguX2A1ysWRxSCA,Walkin' The Dog,['Stanley Jordan'],['2mBoEYescv3YHDG5rH6uKd'],2011,NAN,NAN,NAN,,,,,,,,,,,
69,6e0n5SzuhpqqVLcHSvt7kZ,Think About You - Acoustic,['JoJo'],['5xuNBZoM7z1Vv8IQ6uM0p6'],2020,NAN,NAN,NAN,,,,,,,,,,,
70,2F8z5CpdRnlnakBEHBj8aD,Angelhead,['Gabriel Rios'],['0pF1TxZmwCJ3gGpkBQwdtT'],2007,NAN,NAN,NAN,,,,,,,,,,,
71,1DbGb6t0nhwGPqhfteUKPa,3 Piano Pieces: Allegretto,"['Edvard Grieg', 'Einar Steen-Nøkleberg']","['5ihY290YPGc3aY2xTyx7Gy', '417bLc6SGbykzJLkFLD9HZ']",1996,NAN,NAN,NAN,,,,,,,,,,,
72,56sVEoBEKlT6d0z8cZbmVy,She and Her Darkness - Farewell,['Diary Of Dreams'],['1tg5jMp8FFjVqjgoxuEbSR'],2002,NAN,NAN,NAN,,,,,,,,,,,
73,5S5QDjFgJZfcqyeAFhM1qe,Oblivion,['Kapitol'],['5FuX1pfwNKtfSvimMmLSbt'],2016,NAN,NAN,NAN,,,,,,,,,,,
74,33RTRzt7hlcuDDgQr3HCd3,Getzel at a Baseball Game,['Michel Rosenberg'],['7wc2TnT92s7nNwiUh1ynvQ'],2009,NAN,NAN,NAN,,,,,,,,,,,
75,5qk9zJjTrVW3vu6Jd5uIRv,BLOCK ST HOOD,"['Blu', 'Shafiq Husayn']","['1KeJhR0ENFviw187pD4LPT', '0XzVyZOZF7FIsQ7VbBZ9Yy']",2018,NAN,NAN,NAN,,,,,,,,,,,
