,id,name,artists,artist_ids,year,genre,language,country,AppleMusicLink,SpotifyLink,YouTubeLink,YouTubeMusicLink,PandoraLink,DeezerLink,SoundCloudLink,AmazonMusicLink,TIDALLink,NapsterLink,YandexLink
607,6FoJpreAj9wvUEugf6LKw9,Cruise Control - Live,['George Benson'],['4N8BwYTEC6XqykGvXXlmfv'],2020,NAN,NAN,NAN,"""https://geo.music.apple.com/us/album/_/1514635876?i=1514636503&amp;mt=1&amp;app=music&amp;ls=1&amp;at=1000lHKX""","""https://open.spotify.com/track/7AENciLA6usAdHW3PdWU3D""","""https://www.youtube.com/watch?v=pCTsNUo7PcU""","""https://music.youtube.com/watch?v=pCTsNUo7PcU""","""https://www.pandora.com/TR:45307748""","""https://www.deezer.com/track/1374746112""",not found,"""https://music.amazon.com/albums/B0953VCPBP?trackAsin=B0953T4DLB&amp;do=play""","""https://listen.tidal.com/track/157758096""","""https://napster.com/track/tra.508249521""",not found
608,5vOL5b582mjAkEX8P87uvC,Disbelief,['Black Label Society'],['0zfT626RwO6zN3RDYeRit5'],2018,NAN,NAN,NAN,"""https://geo.music.apple.com/us/album/_/1280594876?i=1280595093&amp;mt=1&amp;app=music&amp;ls=1&amp;at=1000lHKX""","""https://open.spotify.com/track/5vOL5b582mjAkEX8P87uvC""","""https://www.youtube.com/watch?v=YT1ljQ1c3_4""","""https://music.youtube.com/watch?v=YT1ljQ1c3_4""","""https://www.pandora.com/TR:11275973""","""https://www.deezer.com/track/443841432""","""https://soundcloud.com/black-label-society/disbelief""","""https://music.amazon.com/albums/B076DGR7QZ?trackAsin=B076DKH4QS&amp;do=play""","""https://listen.tidal.com/track/82784241""","""https://napster.com/track/tra.296296751""","""https://music.yandex.ru/track/38707366"""
609,5qOnCKXVmZA5PTYXS2pp4Q,Fantasía Jiennense: III. Vars. 1-5 (Live),"['Josué Bonnín de Góngora', 'Chun Wang']","['5DHZWUcy8L3FPURYOV7gcL', '4FC7QS87TGVWijwSZNObso']",2018,NAN,NAN,NAN,"""https://geo.music.apple.com/us/album/_/1441010459?i=1441010509&amp;mt=1&amp;app=music&amp;ls=1&amp;at=1000lHKX""",not found,"""https://www.youtube.com/watch?v=DXot6-EZERg""","""https://music.youtube.com/watch?v=DXot6-EZERg""","""https://www.pandora.com/TR:15237922""","""https://www.deezer.com/track/578468252""",not found,"""https://music.amazon.com/albums/B07KKH3ZS8?trackAsin=B07KKJW6Z9&amp;do=play""","""https://listen.tidal.com/track/97850950""","""https://napster.com/track/tra.335072868""",not found
610,1Y1yBqCUKURDDMYFr8nXIp,The Ballad Of...,['The King Khan & BBQ Show'],['4n0gvapwYbRpzU5Ov68B6P'],2006,NAN,NAN,NAN,"""https://geo.music.apple.com/us/album/_/333809850?i=333810369&amp;mt=1&amp;app=music&amp;ls=1&amp;at=1000lHKX""","""https://open.spotify.com/track/31b85bSbfq0H8FLkHV7cp1""","""https://www.youtube.com/watch?v=i_Hjg5rK6ng""","""https://music.youtube.com/watch?v=i_Hjg5rK6ng""","""https://www.pandora.com/TR:1448415""","""https://www.deezer.com/track/12768319""","""https://soundcloud.com/blankfrank13/the-king-khan-bbq-show-third-avenue""","""https://music.amazon.com/albums/B003P7JA2O?trackAsin=B003P7QLE4&amp;do=play""","""https://listen.tidal.com/track/6906615""","""https://napster.com/track/tra.46596476""",not found
611,626cq1ZlkrMHXNiRSnOzwR,Last Day to Live,['Midnight Syndicate'],['5hgOjk7FGUwJvo1J3oDK9R'],2016,NAN,NAN,NAN,"""https://geo.music.apple.com/us/album/_/1147897728?i=1147897740&amp;mt=1&amp;app=music&amp;ls=1&amp;at=1000lHKX""","""https://open.spotify.com/track/626cq1ZlkrMHXNiRSnOzwR""","""https://www.youtube.com/watch?v=tHSZeVxdauE""","""https://music.youtube.com/watch?v=tHSZeVxdauE""",not found,"""https://www.deezer.com/track/130983692""",not found,"""https://music.amazon.com/albums/B01L9MBDUI?trackAsin=B01L9MC10E&amp;do=play""","""https://listen.tidal.com/track/64383487""","""https://napster.com/track/tra.236861471""","""https://music.yandex.ru/track/30958873"""
612,2JneRwtwr6Zzoy4uGRi4DI,"Centrum, The Still Point At The Center Of The Spheres",['William Zeitler'],['5KMzfLKmcTza3BJQ5CFdye'],2007,NAN,NAN,NAN,"""https://geo.music.apple.com/us/album/_/258779669?i=258781190&amp;mt=1&amp;app=music&amp;ls=1&amp;at=1000lHKX""","""https://open.spotify.com/track/2JneRwtwr6Zzoy4uGRi4DI""","""https://www.youtube.com/watch?v=8lBXC2MrNs4""","""https://music.youtube.com/watch?v=8lBXC2MrNs4""",not found,"""https://www.deezer.com/track/8197387""",not found,"""https://music.amazon.com/albums/B0015KJCCQ?trackAsin=B0015KAEJG&amp;do=play""","""https://listen.tidal.com/track/27229634""","""https://napster.com/track/tra.23764768""","""https://music.yandex.ru/track/14910390"""
613,2Nuicxy7YpZXhAITohNjzZ,Falling,['Olive'],['0r2TmTSwK6XAhAxNxTDOb4'],1997,NAN,NAN,NAN,"""https://geo.music.apple.com/us/album/_/299612552?i=299612601&amp;mt=1&amp;app=music&amp;ls=1&amp;at=1000lHKX""","""https://open.spotify.com/track/65pbnVGcm4B7FwSq0lRlHe""","""https://www.youtube.com/watch?v=YljOeThHVoE""","""https://music.youtube.com/watch?v=YljOeThHVoE""","""https://www.pandora.com/TR:620935""","""https://www.deezer.com/track/635111""",not found,"""https://music.amazon.com/albums/B073LWCNV2?trackAsin=B073LGKYJM&amp;do=play""","""https://listen.tidal.com/track/22608264""","""https://napster.com/track/tra.57668537""","""https://music.yandex.ru/track/702716"""
614,23d0xBKvBIR7FsMggqelY1,Buzz,['The Blood Group'],['3Bc5ynpEv7M4aLIikKfdEP'],2003,NAN,NAN,NAN,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
615,64idaK5sjCYFStVTszMogL,An M.,['Thärichens Tentett'],['4MLBBHcdQUZAnWCnVHvRMr'],2012,NAN,NAN,NAN,"""https://geo.music.apple.com/us/album/_/1193310005?i=1193310706&amp;mt=1&amp;app=music&amp;ls=1&amp;at=1000lHKX""","""https://open.spotify.com/track/64idaK5sjCYFStVTszMogL""","""https://www.youtube.com/watch?v=p-5oLhZQ10o""","""https://music.youtube.com/watch?v=p-5oLhZQ10o""","""https://www.pandora.com/TR:29102205""","""https://www.deezer.com/track/139629731""","""https://soundcloud.com/tharichenstentett/an-m""",not found,"""https://listen.tidal.com/track/69099890""",not found,"""https://music.yandex.ru/track/32975747"""
616,37zr73asgOZyLXv6aD1dMx,Don Giovanni,['The Howlers'],['32i5FwV2M9MnGro2nPYlf4'],2015,NAN,NAN,NAN,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found,not found
